person1,person2,start_date,end_date
XXXXXXXXXXXXXXX8,XXXXXXXXXXXXXX37,2017-09-15,null
XXXXXXXXXXXXXXX8,XXXXXXXXXXXXXXX3,2017-09-15,null
XXXXXXXXXXXXXX25,XXXXXXXXXXXXXX11,1995-06-29,null
XXXXXXXXXXXXXX25,XXXXXXXXXXXXXX22,1995-06-29,null
XXXXXXXXXXXXXX38,XXXXXXXXXXXXXXX1,2010-03-03,null
XXXXXXXXXXXXXX37,XXXXXXXXXXXXXXX3,1956-02-17,null
XXXXXXXXXXXXXX37,XXXXXXXXXXXXXXX4,1956-02-17,null
XXXXXXXXXXXXXX37,XXXXXXXXXXXXXX40,1956-02-17,null
XXXXXXXXXXXXXX37,XXXXXXXXXXXXXX25,1956-02-17,null
XXXXXXXXXXXXXXX3,XXXXXXXXXXXXXXX4,1991-04-02,null
XXXXXXXXXXXXXXX3,XXXXXXXXXXXXXX40,1991-04-02,null
XXXXXXXXXXXXXXX3,XXXXXXXXXXXXXX25,1991-04-02,null
XXXXXXXXXXXXXXX4,XXXXXXXXXXXXXX40,1987-02-10,null
XXXXXXXXXXXXXXX4,XXXXXXXXXXXXXX25,1987-02-10,null
XXXXXXXXXXXXXX40,XXXXXXXXXXXXXX25,1994-03-07,null
XXXXXXXXXXXXXX11,XXXXXXXXXXXXXX22,1991-07-11,null
XXXXXXXXXXXXXX11,XXXXXXXXXXXXXX32,1991-07-11,null
XXXXXXXXXXXXXX11,XXXXXXXXXXXXXX13,1991-07-11,null
XXXXXXXXXXXXXX11,XXXXXXXXXXXXXX42,1991-07-11,null
XXXXXXXXXXXXXX11,XXXXXXXXXXXXXX33,1991-07-11,null
XXXXXXXXXXXXXX11,XXXXXXXXXXXXXX16,1991-07-11,null
XXXXXXXXXXXXXX11,XXXXXXXXXXXXXX23,1991-07-11,null
XXXXXXXXXXXXXX11,XXXXXXXXXXXXXX10,1991-07-11,null
XXXXXXXXXXXXXX11,XXXXXXXXXXXXXXX6,1991-07-11,null
