device_id,device_category,person
DDDDDDDDDDDDDD16,Smartphone,XXXXXXXXXXXXXX13
DDDDDDDDDDDDDD22,Smartphone,XXXXXXXXXXXXXX19
DDDDDDDDDDDDDD24,Smartphone,XXXXXXXXXXXXXX21
DDDDDDDDDDDDDD25,Smartwatch,XXXXXXXXXXXXXX21
DDDDDDDDDDDDDD23,Smartphone,XXXXXXXXXXXXXX20
DDDDDDDDDDDDDD17,Smartphone,XXXXXXXXXXXXXX14
DDDDDDDDDDDDDD20,Smartphone,XXXXXXXXXXXXXX17
DDDDDDDDDDDDDD19,Smartphone,XXXXXXXXXXXXXX16
DDDDDDDDDDDDDD10,Smartphone,XXXXXXXXXXXXXXX8
DDDDDDDDDDDDDD11,Smartwatch,XXXXXXXXXXXXXXX8
DDDDDDDDDDDDDD31,Smartphone,XXXXXXXXXXXXXX25
DDDDDDDDDDDDDDD6,Smartphone,XXXXXXXXXXXXXXX5
DDDDDDDDDDDDDD13,Smartphone,XXXXXXXXXXXXXX10
DDDDDDDDDDDDDDD0,Smartphone,XXXXXXXXXXXXXXX0
DDDDDDDDDDDDDD28,Smartphone,XXXXXXXXXXXXXX23
DDDDDDDDDDDDDD29,Smartwatch,XXXXXXXXXXXXXX23
DDDDDDDDDDDDDDD5,Smartphone,XXXXXXXXXXXXXXX4
DDDDDDDDDDDDDD12,Smartphone,XXXXXXXXXXXXXXX9
DDDDDDDDDDDDDD30,Smartphone,XXXXXXXXXXXXXX24
DDDDDDDDDDDDDD15,Smartphone,XXXXXXXXXXXXXX12
DDDDDDDDDDDDDDD7,Smartphone,XXXXXXXXXXXXXXX6
DDDDDDDDDDDDDDD8,Smartwatch,XXXXXXXXXXXXXXX6
DDDDDDDDDDDDDDD1,Smartphone,XXXXXXXXXXXXXXX1
DDDDDDDDDDDDDDD3,Smartphone,XXXXXXXXXXXXXXX3
DDDDDDDDDDDDDDD4,Smartwatch,XXXXXXXXXXXXXXX3
DDDDDDDDDDDDDDD2,Smartphone,XXXXXXXXXXXXXXX2
DDDDDDDDDDDDDD21,Smartphone,XXXXXXXXXXXXXX18
DDDDDDDDDDDDDD14,Smartphone,XXXXXXXXXXXXXX11
DDDDDDDDDDDDDD26,Smartphone,XXXXXXXXXXXXXX22
DDDDDDDDDDDDDD27,Smartwatch,XXXXXXXXXXXXXX22
DDDDDDDDDDDDDDD9,Smartphone,XXXXXXXXXXXXXXX7
DDDDDDDDDDDDDD33,Smartphone,XXXXXXXXXXXXXX27
DDDDDDDDDDDDDD34,Smartphone,XXXXXXXXXXXXXX28
DDDDDDDDDDDDDD32,Smartphone,XXXXXXXXXXXXXX26
DDDDDDDDDDDDDD18,Smartphone,XXXXXXXXXXXXXX15
