aggregation_name,aggregation_start,person,start_time,end_time
Concert 0,2021-06-28 09:00:00,XXXXXXXXXXXXXX25,2021-06-28 09:00:00,2021-06-28 11:00:00
Concert 0,2021-06-28 09:00:00,XXXXXXXXXXXXXX28,2021-06-28 09:00:00,2021-06-28 11:00:00
Concert 0,2021-06-28 09:00:00,XXXXXXXXXXXXXX16,2021-06-28 09:00:00,2021-06-28 11:00:00
Concert 0,2021-06-28 09:00:00,XXXXXXXXXXXXXX11,2021-06-28 09:00:00,2021-06-28 11:00:00
Concert 0,2021-06-28 09:00:00,XXXXXXXXXXXXXX10,2021-06-28 09:00:00,2021-06-28 11:00:00
Concert 0,2021-06-28 09:00:00,XXXXXXXXXXXXXX22,2021-06-28 09:00:00,2021-06-28 11:00:00
Concert 0,2021-06-28 09:00:00,XXXXXXXXXXXXXXX0,2021-06-28 09:00:00,2021-06-28 11:00:00
Concert 0,2021-06-28 09:00:00,XXXXXXXXXXXXXX18,2021-06-28 09:00:00,2021-06-28 11:00:00
Concert 0,2021-06-28 09:00:00,XXXXXXXXXXXXXX27,2021-06-28 09:00:00,2021-06-28 11:00:00
Concert 0,2021-06-28 09:00:00,XXXXXXXXXXXXXX23,2021-06-28 09:00:00,2021-06-28 11:00:00
Concert 0,2021-06-28 09:00:00,XXXXXXXXXXXXXX21,2021-06-28 09:00:00,2021-06-28 11:00:00
Concert 0,2021-06-28 09:00:00,XXXXXXXXXXXXXXX8,2021-06-28 09:00:00,2021-06-28 11:00:00
Concert 1,2021-05-28 14:00:00,XXXXXXXXXXXXXXX5,2021-05-28 14:00:00,2021-05-28 17:00:00
Concert 1,2021-05-28 14:00:00,XXXXXXXXXXXXXX11,2021-05-28 14:00:00,2021-05-28 17:00:00
Concert 1,2021-05-28 14:00:00,XXXXXXXXXXXXXXX8,2021-05-28 14:00:00,2021-05-28 17:00:00
Concert 1,2021-05-28 14:00:00,XXXXXXXXXXXXXXX1,2021-05-28 14:00:00,2021-05-28 17:00:00
Concert 1,2021-05-28 14:00:00,XXXXXXXXXXXXXX15,2021-05-28 14:00:00,2021-05-28 17:00:00
Concert 1,2021-05-28 14:00:00,XXXXXXXXXXXXXX21,2021-05-28 14:00:00,2021-05-28 17:00:00
Concert 1,2021-05-28 14:00:00,XXXXXXXXXXXXXX16,2021-05-28 14:00:00,2021-05-28 17:00:00
Concert 1,2021-05-28 14:00:00,XXXXXXXXXXXXXX21,2021-05-28 14:00:00,2021-05-28 17:00:00
Concert 1,2021-05-28 14:00:00,XXXXXXXXXXXXXX17,2021-05-28 14:00:00,2021-05-28 17:00:00
Concert 1,2021-05-28 14:00:00,XXXXXXXXXXXXXX17,2021-05-28 14:00:00,2021-05-28 17:00:00
Concert 1,2021-05-28 14:00:00,XXXXXXXXXXXXXX27,2021-05-28 14:00:00,2021-05-28 17:00:00
Concert 1,2021-05-28 14:00:00,XXXXXXXXXXXXXX17,2021-05-28 14:00:00,2021-05-28 17:00:00
Concert 1,2021-05-28 14:00:00,XXXXXXXXXXXXXX12,2021-05-28 14:00:00,2021-05-28 17:00:00
Concert 1,2021-05-28 14:00:00,XXXXXXXXXXXXXXX8,2021-05-28 14:00:00,2021-05-28 17:00:00
Concert 2,2021-06-25 13:00:00,XXXXXXXXXXXXXX18,2021-06-25 13:00:00,2021-06-25 16:00:00
Concert 2,2021-06-25 13:00:00,XXXXXXXXXXXXXX24,2021-06-25 13:00:00,2021-06-25 16:00:00
Flight Number 3,2021-05-21 22:00:00,XXXXXXXXXXXXXX19,2021-05-21 22:00:00,2021-05-22 02:00:00
Flight Number 3,2021-05-21 22:00:00,XXXXXXXXXXXXXX10,2021-05-21 22:00:00,2021-05-22 02:00:00
Flight Number 3,2021-05-21 22:00:00,XXXXXXXXXXXXXX26,2021-05-21 22:00:00,2021-05-22 02:00:00
Flight Number 3,2021-05-21 22:00:00,XXXXXXXXXXXXXX26,2021-05-21 22:00:00,2021-05-22 02:00:00
Flight Number 3,2021-05-21 22:00:00,XXXXXXXXXXXXXXX0,2021-05-21 22:00:00,2021-05-22 02:00:00
Flight Number 3,2021-05-21 22:00:00,XXXXXXXXXXXXXX14,2021-05-21 22:00:00,2021-05-22 02:00:00
Flight Number 3,2021-05-21 22:00:00,XXXXXXXXXXXXXXX5,2021-05-21 22:00:00,2021-05-22 02:00:00
Flight Number 3,2021-05-21 22:00:00,XXXXXXXXXXXXXXX9,2021-05-21 22:00:00,2021-05-22 02:00:00
Flight Number 3,2021-05-21 22:00:00,XXXXXXXXXXXXXXX0,2021-05-21 22:00:00,2021-05-22 02:00:00
Flight Number 3,2021-05-21 22:00:00,XXXXXXXXXXXXXX25,2021-05-21 22:00:00,2021-05-22 02:00:00
Flight Number 3,2021-05-21 22:00:00,XXXXXXXXXXXXXX22,2021-05-21 22:00:00,2021-05-22 02:00:00
Flight Number 3,2021-05-21 22:00:00,XXXXXXXXXXXXXX12,2021-05-21 22:00:00,2021-05-22 02:00:00
Flight Number 4,2021-06-06 19:00:00,XXXXXXXXXXXXXX26,2021-06-06 19:00:00,2021-06-06 19:00:00
Flight Number 4,2021-06-06 19:00:00,XXXXXXXXXXXXXX24,2021-06-06 19:00:00,2021-06-06 19:00:00
Museum visit 5,2010-09-23 00:00:00,XXXXXXXXXXXXXX19,2019-03-25 13:00:00,2019-07-29 15:00:00
Museum visit 5,2010-09-23 00:00:00,XXXXXXXXXXXXXX15,2011-03-11 00:00:00,2020-06-18 19:00:00
Museum visit 6,2010-01-24 00:00:00,XXXXXXXXXXXXXXX8,2021-05-25 13:00:00,2021-06-30 16:00:00
Museum visit 6,2010-01-24 00:00:00,XXXXXXXXXXXXXX13,2013-07-15 23:00:00,2020-10-31 15:00:00
Museum visit 6,2010-01-24 00:00:00,XXXXXXXXXXXXXXX1,2013-09-29 11:00:00,2017-06-13 23:00:00
