data_somministrazione,fornitore,area,fascia_anagrafica,sesso_maschile,sesso_femminile,prima_dose,seconda_dose,pregressa_infezione,dose_addizionale_booster,codice_NUTS1,codice_NUTS2,codice_regione_ISTAT,nome_area
2020-12-27,Pfizer/BioNTech,ABR,20-29,1,1,2,0,0,0,ITF,ITF1,13,Abruzzo
2020-12-27,Pfizer/BioNTech,ABR,30-39,1,4,5,0,0,0,ITF,ITF1,13,Abruzzo
2020-12-27,Pfizer/BioNTech,ABR,40-49,1,8,9,0,0,0,ITF,ITF1,13,Abruzzo
2020-12-27,Pfizer/BioNTech,ABR,50-59,7,6,13,0,0,0,ITF,ITF1,13,Abruzzo
2020-12-27,Pfizer/BioNTech,ABR,60-69,12,4,16,0,0,0,ITF,ITF1,13,Abruzzo
2020-12-27,Pfizer/BioNTech,ABR,70-79,1,0,1,0,0,0,ITF,ITF1,13,Abruzzo
2020-12-27,Pfizer/BioNTech,ABR,80-89,1,0,1,0,0,0,ITF,ITF1,13,Abruzzo
2020-12-27,Pfizer/BioNTech,BAS,20-29,4,5,9,0,0,0,ITF,ITF5,17,Basilicata
2020-12-27,Pfizer/BioNTech,BAS,30-39,10,18,28,0,0,0,ITF,ITF5,17,Basilicata
2020-12-27,Pfizer/BioNTech,BAS,40-49,7,24,31,0,0,0,ITF,ITF5,17,Basilicata
2020-12-27,Pfizer/BioNTech,BAS,50-59,11,15,26,0,0,0,ITF,ITF5,17,Basilicata
2020-12-27,Pfizer/BioNTech,BAS,60-69,9,4,13,0,0,0,ITF,ITF5,17,Basilicata
2020-12-27,Pfizer/BioNTech,CAL,20-29,18,42,60,0,0,0,ITF,ITF6,18,Calabria
2020-12-27,Pfizer/BioNTech,CAL,30-39,25,25,50,0,0,0,ITF,ITF6,18,Calabria
2020-12-27,Pfizer/BioNTech,CAL,40-49,25,32,57,0,0,0,ITF,ITF6,18,Calabria
2020-12-27,Pfizer/BioNTech,CAL,50-59,57,31,88,0,0,0,ITF,ITF6,18,Calabria
2020-12-27,Pfizer/BioNTech,CAL,60-69,45,18,63,0,0,0,ITF,ITF6,18,Calabria
2020-12-27,Pfizer/BioNTech,CAM,20-29,27,33,60,0,0,0,ITF,ITF3,15,Campania
2020-12-27,Pfizer/BioNTech,CAM,30-39,61,64,125,0,0,0,ITF,ITF3,15,Campania
2020-12-27,Pfizer/BioNTech,CAM,40-49,80,87,167,0,0,0,ITF,ITF3,15,Campania
2020-12-27,Pfizer/BioNTech,CAM,50-59,119,77,196,0,0,0,ITF,ITF3,15,Campania
2020-12-27,Pfizer/BioNTech,CAM,60-69,131,37,167,0,1,0,ITF,ITF3,15,Campania
2020-12-27,Pfizer/BioNTech,CAM,70-79,5,0,5,0,0,0,ITF,ITF3,15,Campania
2020-12-27,Pfizer/BioNTech,EMR,20-29,53,86,139,0,0,0,ITH,ITH5,8,Emilia-Romagna
2020-12-27,Pfizer/BioNTech,EMR,30-39,58,83,141,0,0,0,ITH,ITH5,8,Emilia-Romagna
2020-12-27,Pfizer/BioNTech,EMR,40-49,80,148,228,0,0,0,ITH,ITH5,8,Emilia-Romagna
2020-12-27,Pfizer/BioNTech,EMR,50-59,71,217,288,0,0,0,ITH,ITH5,8,Emilia-Romagna
2020-12-27,Pfizer/BioNTech,EMR,60-69,100,51,151,0,0,0,ITH,ITH5,8,Emilia-Romagna
2020-12-27,Pfizer/BioNTech,EMR,70-79,10,3,13,0,0,0,ITH,ITH5,8,Emilia-Romagna
2020-12-27,Pfizer/BioNTech,EMR,80-89,2,6,8,0,0,0,ITH,ITH5,8,Emilia-Romagna
2020-12-27,Pfizer/BioNTech,EMR,90+,0,5,5,0,0,0,ITH,ITH5,8,Emilia-Romagna
2020-12-27,Pfizer/BioNTech,FVG,20-29,1,4,5,0,0,0,ITH,ITH4,6,Friuli-Venezia Giulia
2020-12-27,Pfizer/BioNTech,FVG,30-39,9,7,16,0,0,0,ITH,ITH4,6,Friuli-Venezia Giulia
2020-12-27,Pfizer/BioNTech,FVG,40-49,17,33,50,0,0,0,ITH,ITH4,6,Friuli-Venezia Giulia
2020-12-27,Pfizer/BioNTech,FVG,50-59,59,45,104,0,0,0,ITH,ITH4,6,Friuli-Venezia Giulia
2020-12-27,Pfizer/BioNTech,FVG,60-69,62,23,85,0,0,0,ITH,ITH4,6,Friuli-Venezia Giulia
2020-12-27,Pfizer/BioNTech,FVG,70-79,3,2,5,0,0,0,ITH,ITH4,6,Friuli-Venezia Giulia
2020-12-27,Pfizer/BioNTech,LAZ,20-29,32,32,64,0,0,0,ITI,ITI4,12,Lazio
2020-12-27,Pfizer/BioNTech,LAZ,30-39,39,41,80,0,0,0,ITI,ITI4,12,Lazio
2020-12-27,Pfizer/BioNTech,LAZ,40-49,20,33,52,0,1,0,ITI,ITI4,12,Lazio
2020-12-27,Pfizer/BioNTech,LAZ,50-59,26,30,56,0,0,0,ITI,ITI4,12,Lazio
2020-12-27,Pfizer/BioNTech,LAZ,60-69,16,8,24,0,0,0,ITI,ITI4,12,Lazio
2020-12-27,Pfizer/BioNTech,LIG,20-29,6,3,9,0,0,0,ITC,ITC3,7,Liguria
2020-12-27,Pfizer/BioNTech,LIG,30-39,10,14,24,0,0,0,ITC,ITC3,7,Liguria
